,t,condition,cR,c1,c2,c3,c4,rR,r1,r2,r3,r4,A,N,G
191,0,(L__),100,0,0,0,0,1,0,0,0,0,0.1,0,0
190,0,(L_H),100,0,0,0,0,1,0,0,0,0,0.1,0,0.5
168,0,(HLL),100,0,0,0,0,1,0,0,0,0,1,0.005,0.005
169,0,(HLH),100,0,0,0,0,1,0,0,0,0,1,0.005,0.5
170,0,(HHL),100,0,0,0,0,1,0,0,0,0,1,0.5,0.005
171,0,(HHH),100,0,0,0,0,1,0,0,0,0,1,0.5,0.5
172,0,(HMM),100,0,0,0,0,1,0,0,0,0,1,0.05,0.05
174,0,(HM_),100,0,0,0,0,1,0,0,0,0,1,0.05,0
175,0,(HH_),100,0,0,0,0,1,0,0,0,0,1,0.5,0
176,0,(H_L),100,0,0,0,0,1,0,0,0,0,1,0,0.005
177,0,(H_M),100,0,0,0,0,1,0,0,0,0,1,0,0.05
178,0,(H_H),100,0,0,0,0,1,0,0,0,0,1,0,0.5
173,0,(HL_),100,0,0,0,0,1,0,0,0,0,1,0.005,0
180,0,(LLL),100,0,0,0,0,1,0,0,0,0,0.1,0.005,0.005
179,0,(H__),100,0,0,0,0,1,0,0,0,0,1,0,0
188,0,(L_L),100,0,0,0,0,1,0,0,0,0,0.1,0,0.005
187,0,(LH_),100,0,0,0,0,1,0,0,0,0,0.1,0.5,0
186,0,(LM_),100,0,0,0,0,1,0,0,0,0,0.1,0.05,0
185,0,(LL_),100,0,0,0,0,1,0,0,0,0,0.1,0.005,0
189,0,(L_M),100,0,0,0,0,1,0,0,0,0,0.1,0,0.05
183,0,(LHH),100,0,0,0,0,1,0,0,0,0,0.1,0.5,0.5
182,0,(LHL),100,0,0,0,0,1,0,0,0,0,0.1,0.5,0.005
181,0,(LLH),100,0,0,0,0,1,0,0,0,0,0.1,0.005,0.5
184,0,(LMM),100,0,0,0,0,1,0,0,0,0,0.1,0.05,0.05
37,11,(LHH),2398,0,2,12,15,0.988051092,0,0.000824063,0.004944376,0.00618047,0.1,0.5,0.5
47,11,(L_L),2705,11,82,43,16,0.94679734,0.003850193,0.028701435,0.015050753,0.00560028,0.1,0,0.005
46,11,(H_L),2531,1,11,48,15,0.971220261,0.00038373,0.004221028,0.018419033,0.005755948,1,0,0.005
45,11,(LH_),2557,3,5,20,14,0.983839938,0.00115429,0.001923817,0.007695267,0.005386687,0.1,0.5,0
44,11,(HH_),2687,1,5,13,14,0.987867647,0.000367647,0.001838235,0.004779412,0.005147059,1,0.5,0
43,11,(LM_),2271,1,67,80,12,0.934183464,0.000411353,0.027560675,0.032908268,0.00493624,0.1,0.05,0
42,11,(HM_),2055,1,5,13,7,0.987506007,0.000480538,0.002402691,0.006246997,0.003363767,1,0.05,0
40,11,(HL_),2060,2,12,92,85,0.915148823,0.000888494,0.005330964,0.040870724,0.037760995,1,0.005,0
39,11,(LMM),3154,2,3,5,10,0.993698803,0.00063012,0.00094518,0.001575299,0.003150599,0.1,0.05,0.05
38,11,(HMM),2531,2,12,12,23,0.981007752,0.000775194,0.004651163,0.004651163,0.008914729,1,0.05,0.05
36,11,(HHH),2161,1,3,5,15,0.989016018,0.000457666,0.001372998,0.00228833,0.006864989,1,0.5,0.5
41,11,(LL_),2417,27,112,54,35,0.913799622,0.01020794,0.042344045,0.020415879,0.013232514,0.1,0.005,0
34,11,(HHL),2042,0,3,9,12,0.988383349,0,0.001452081,0.004356244,0.005808325,1,0.5,0.005
