,t,condition,cR,c1,c2,c3,c4,rR,r1,r2,r3,r4,A,N,G
193,11,(___),100,0,0,0,0,1,0,0,0,0,0,0,0
46,11,(H_L),2531,1,11,48,15,0.971220261,0.00038373,0.004221028,0.018419033,0.005755948,1,0,0.005
45,11,(LH_),2557,3,5,20,14,0.983839938,0.00115429,0.001923817,0.007695267,0.005386687,0.1,0.5,0
43,11,(LM_),2271,1,67,80,12,0.934183464,0.000411353,0.027560675,0.032908268,0.00493624,0.1,0.05,0
25,11,(L_M),3359,20,70,10,6,0.969408369,0.005772006,0.02020202,0.002886003,0.001731602,0.1,0,0.05
39,11,(LMM),3154,2,3,5,10,0.993698803,0.00063012,0.00094518,0.001575299,0.003150599,0.1,0.05,0.05
38,11,(HMM),2531,2,12,12,23,0.981007752,0.000775194,0.004651163,0.004651163,0.008914729,1,0.05,0.05
41,11,(LL_),2417,27,112,54,35,0.913799622,0.01020794,0.042344045,0.020415879,0.013232514,0.1,0.005,0
26,11,(H_H),2246,1,0,2,0,0.998666074,0.000444642,0,0.000889284,0,1,0,0.5
28,11,(H__),2130,5,29,136,110,0.883817427,0.002074689,0.012033195,0.056431535,0.045643154,1,0,0
24,11,(H_M),3211,2,6,5,8,0.993502475,0.000618812,0.001856436,0.00154703,0.002475248,1,0,0.05
42,11,(HM_),2055,1,5,13,7,0.987506007,0.000480538,0.002402691,0.006246997,0.003363767,1,0.05,0
193,14,(___),100,0,0,0,0,1,0,0,0,0,0,0,0
70,14,(H_L),2400,14,67,195,142,0.85166785,0.004968062,0.023775727,0.069198013,0.050390348,1,0,0.005
69,14,(LH_),1464,4,2,15,6,0.981891348,0.002682763,0.001341382,0.010060362,0.004024145,0.1,0.5,0
65,14,(LL_),1618,180,636,327,26,0.580552565,0.064585576,0.228202368,0.117330463,0.009329028,0.1,0.005,0
63,14,(LMM),1473,8,14,6,1,0.98069241,0.005326232,0.009320905,0.003994674,0.000665779,0.1,0.05,0.05
62,14,(HMM),1437,6,22,7,11,0.968981794,0.004045853,0.014834794,0.004720162,0.007417397,1,0.05,0.05
67,14,(LM_),677,53,289,288,28,0.507116105,0.039700375,0.216479401,0.215730337,0.020973783,0.1,0.05,0
49,14,(L_M),738,111,151,3,0,0.735792622,0.110667996,0.150548355,0.002991027,0,0.1,0,0.05
52,14,(H__),535,11,55,355,323,0.418295543,0.008600469,0.043002346,0.277560594,0.252541048,1,0,0
50,14,(H_H),1340,3,0,0,0,0.997766195,0.002233805,0,0,0,1,0,0.5
48,14,(H_M),1311,4,10,3,8,0.981287425,0.002994012,0.00748503,0.002245509,0.005988024,1,0,0.05
66,14,(HM_),1463,4,27,165,115,0.824689966,0.002254791,0.015219842,0.093010147,0.064825254,1,0.05,0
194,17,(___),100,0,0,0,0,1,0,0,0,0,0,0,0
86,17,(HMM),946,2,17,12,2,0.966292135,0.002042901,0.017364658,0.012257406,0.002042901,1,0.05,0.05
87,17,(LMM),1056,49,83,18,0,0.875621891,0.040630182,0.068822554,0.014925373,0,0.1,0.05,0.05
89,17,(LL_),422,191,381,64,2,0.398113208,0.180188679,0.359433962,0.060377358,0.001886792,0.1,0.005,0
91,17,(LM_),330,69,365,259,18,0.317002882,0.066282421,0.3506244,0.248799232,0.017291066,0.1,0.05,0
73,17,(L_M),546,355,308,6,0,0.449382716,0.29218107,0.253497942,0.004938272,0,0.1,0,0.05
93,17,(LH_),1048,5,3,12,7,0.974883721,0.004651163,0.002790698,0.011162791,0.006511628,0.1,0.5,0
94,17,(H_L),536,8,58,321,193,0.480286738,0.007168459,0.051971326,0.287634409,0.172939068,1,0,0.005
72,17,(H_M),1151,4,21,24,19,0.944216571,0.003281378,0.017227235,0.019688269,0.015586546,1,0,0.05
90,17,(HM_),496,6,62,317,155,0.478764479,0.005791506,0.05984556,0.305984556,0.1496139,1,0.05,0
74,17,(H_H),1050,3,2,0,0,0.995260664,0.002843602,0.001895735,0,0,1,0,0.5
76,17,(H__),154,7,51,375,334,0.167209555,0.007600434,0.055374593,0.407166124,0.362649294,1,0,0
195,20,(___),100,0,0,0,0,1,0,0,0,0,0,0,0
110,20,(HMM),957,1,11,18,14,0.956043956,0.000999001,0.010989011,0.017982018,0.013986014,1,0.05,0.05
111,20,(LMM),1149,176,260,41,1,0.706207744,0.108174554,0.159803319,0.025199754,0.000614628,0.1,0.05,0.05
113,20,(LL_),472,201,329,47,6,0.447393365,0.190521327,0.311848341,0.044549763,0.005687204,0.1,0.005,0
117,20,(LH_),988,7,3,5,9,0.976284585,0.006916996,0.002964427,0.004940711,0.008893281,0.1,0.5,0
118,20,(H_L),393,9,110,657,296,0.268259386,0.006143345,0.075085324,0.448464164,0.202047782,1,0,0.005
115,20,(LM_),205,52,345,206,14,0.249391727,0.063260341,0.419708029,0.250608273,0.01703163,0.1,0.05,0
97,20,(L_M),406,271,251,8,1,0.433297759,0.289220918,0.267876201,0.008537887,0.001067236,0.1,0,0.05
98,20,(H_H),791,3,0,0,0,0.996221662,0.003778338,0,0,0,1,0,0.5
100,20,(H__),158,2,53,454,463,0.139823009,0.001769912,0.046902655,0.401769912,0.409734513,1,0,0
96,20,(H_M),1111,8,45,112,52,0.836596386,0.006024096,0.033885542,0.084337349,0.039156627,1,0,0.05
114,20,(HM_),354,6,71,416,249,0.322992701,0.005474453,0.064781022,0.379562044,0.227189781,1,0.05,0
196,23,(___),100,0,0,0,0,1,0,0,0,0,0,0,0
142,23,(H_L),398,5,98,564,321,0.287157287,0.003607504,0.070707071,0.406926407,0.231601732,1,0,0.005
141,23,(LH_),711,2,9,11,4,0.964721845,0.002713704,0.012211669,0.014925373,0.005427408,0.1,0.5,0
139,23,(LM_),304,44,305,146,17,0.37254902,0.053921569,0.37377451,0.178921569,0.020833333,0.1,0.05,0
121,23,(L_M),347,248,248,3,0,0.410165485,0.293144208,0.293144208,0.003546099,0,0.1,0,0.05
135,23,(LMM),683,114,206,23,2,0.664396887,0.110894942,0.200389105,0.022373541,0.001945525,0.1,0.05,0.05
134,23,(HMM),1091,2,21,51,18,0.922231615,0.001690617,0.017751479,0.043110735,0.015215554,1,0.05,0.05
137,23,(LL_),366,141,359,53,0,0.398258977,0.153427639,0.390642002,0.057671382,0,0.1,0.005,0
124,23,(H__),158,2,38,336,154,0.229651163,0.002906977,0.055232558,0.488372093,0.223837209,1,0,0
122,23,(H_H),545,0,0,0,0,1,0,0,0,0,1,0,0.5
120,23,(H_M),1054,8,47,190,94,0.756640345,0.005743001,0.033740129,0.136396267,0.067480258,1,0,0.05
138,23,(HM_),310,1,68,432,264,0.288372093,0.000930233,0.063255814,0.401860465,0.245581395,1,0.05,0
197,37,(___),100,0,0,0,0,1,0,0,0,0,0,0,0
158,37,(HMM),459,5,41,132,41,0.67699115,0.007374631,0.060471976,0.194690265,0.060471976,1,0.05,0.05
159,37,(LMM),420,248,414,35,0,0.376007162,0.222023277,0.370635631,0.03133393,0,0.1,0.05,0.05
165,37,(LH_),986,12,12,10,13,0.954501452,0.011616651,0.011616651,0.009680542,0.012584705,0.1,0.5,0
166,37,(H_L),138,5,85,568,362,0.119170984,0.004317789,0.073402418,0.490500864,0.312607945,1,0,0.005
163,37,(LM_),254,33,310,176,16,0.321926489,0.041825095,0.392902408,0.223067174,0.020278834,0.1,0.05,0
145,37,(L_M),501,321,308,3,1,0.441798942,0.283068783,0.271604938,0.002645503,0.000881834,0.1,0,0.05
161,37,(LL_),284,211,511,74,4,0.26199262,0.194649446,0.471402214,0.068265683,0.003690037,0.1,0.005,0
148,37,(H__),63,1,44,328,291,0.086657497,0.001375516,0.060522696,0.451169188,0.400275103,1,0,0
146,37,(H_H),657,0,2,0,2,0.993948563,0,0.003025719,0,0.003025719,1,0,0.5
144,37,(H_M),551,10,51,242,93,0.581837381,0.010559662,0.053854277,0.255543823,0.098204857,1,0,0.05
162,37,(HM_),160,6,73,658,495,0.114942529,0.004310345,0.052442529,0.472701149,0.355603448,1,0.05,0
